Variable	DescrCA	DescrES	DescrEN	Valor_Value	LabelCA	LabelES	LabelEN
P3_B	Coneixement de la llengua catalana. A més d'entendre el català, el sap parlar?	Conocimiento de la lengua catalana. Además de entender el catalán, ¿sabe hablarlo?	Knowledge of the Catalan language. In addition to understanding Catalan, can you speak it?				
P3_B				1	Sí	Sí	Yes
P3_B				2	No	No	No
P3_C	Coneixement de la llengua catalana. El sap llegir, el català?	Conocimiento de la lengua catalana. ¿Sabe leer el catalán?	Knowledge of the Catalan language. Can you read Catalan?				
P3_C				1	Sí	Sí	Yes
P3_C				2	No	No	No
P3_D	Coneixement de la llengua catalana. El sap escriure, el català?	Conocimiento de la lengua catalana. ¿Sabe escribir el catalán?	Knowledge of the Catalan language. Can you write in Catalan?				
P3_D				1	Sí	Sí	Yes
P3_D				2	No	No	No
P3BIS	On ha après a parlar català	Donde ha aprendido a hablar catalán	Where did you learn to speak Catalan				
P3BIS				1	A casa, des de petit	En casa, desde pequeño	At home, since early childhood
P3BIS				2	A l'escola (formació reglada)	En la escuela (formación reglada)	At school (formal education)
P3BIS				3	A la formació superior (universitat)	En la formación superior (universidad)	In higher education (university)
P3BIS				4	A la feina, amb els companys de feina	En el trabajo, con los compañeros	At work, with work colleagues
P3BIS				5	A la feina, amb formació laboral	En el trabajo, con formación laboral	At work, with job training
P3BIS				6	En la meva vida quotidiana	En mi vida cotidiana	In my daily life
P3BIS				7	En un curs de català per a adults	En un curso de catalán para adultos	In a Catalan course for adults
P3BIS				8	Amb la família, però no des de petit	Con la familia, pero no desde pequeño	With the family, but not since early childhood
P3BIS				9	Pel meu compte amb eines a l'abast (llegint, mitjans comunicació, etc)	Por mi cuenta con herramientas al alcance (leyendo, medios de comunicación, etc.)	By myself with available tools (reading, media, etc.)
P3BIS				95	No consta	No consta	N/A
P4_A	Coneixement de la llengua castellana. Entén el castellà?	Conocimiento de la lengua castellana. ¿Entiende el castellano?	Knowledge of the Spanish language. Do you understand Spanish?				
P4_A				1	Sí	Sí	Yes
P4_A				2	No	No	No
P4_B	Coneixement de la llengua castellana. A més d'entendre el castellà el sap parlar?	Conocimiento de la lengua castellana. Además de entender el castellano ¿sabe hablarlo?	Knowledge of the Spanish language. In addition to understanding Spanish, can you speak it?				
P4_B				1	Sí	Sí	Yes
P4_B				2	No	No	No
P4_C	Coneixement de la llengua castellana. El sap llegir, el castellà?	Conocimiento de la lengua castellana. ¿Sabe leer el castellano?	Knowledge of the Spanish language. Can you read Spanish?				
P4_C				1	Sí	Sí	Yes
P4_C				2	No	No	No
P4_D	Coneixement de la llengua castellana. El sap escriure, el castellà?	Conocimiento de la lengua castellana. ¿Sabe escribir el castellano?	Knowledge of the Spanish language. Can you write in Spanish?				
P4_D				1	Sí	Sí	Yes
P4_D				2	No	No	No
P5_A	Coneixement de l’aranès. Entén l’aranès?	Conocimiento del aranés. ¿Entiende usted el aranés?	Knowledge of Aranese. Do you understand Aranese?				
P5_A				1	Sí	Sí	Yes
P5_A				2	No	No	No
P5_B	A més d'entendre l’aranès, el sap parlar?	Además de entender el aranés, ¿sabe hablarlo?	In addition to understanding Aranese, can you speak it?				
P5_B				1	Sí	Sí	Yes
P5_B				2	No	No	No
P5_C	Coneixement de l'aranès. El sap llegir, l'aranès?	Conocimiento del aranés. ¿Sabe leer el aranés?	Knowledge of the Aranese language. Can you read Aranese?				
P5_C				1	Sí	Sí	Yes
P5_C				2	No	No	No
P5_D	Coneixement de l'aranès. El sap escriure, l'aranès?	Conocimiento del aranés. ¿Sabe escribir el aranés?	Knowledge of the Aranese language. Can you write in Aranese?				
P5_D				1	Sí	Sí	Yes
P5_D				2	No	No	No
P6	Llengua inicial	Lengua inicial	Initial language				
P6				1	Català	Catalán	Catalan
P6				2	Castellà	Castellano	Spanish
P6				3	Català i castellà	Catalán y castellano	Catalan and Spanish
P6				4	Aranès	Aranés	Aranese
P6				99	No consta	No consta	N/A
P6				105	Alemany	Alemán	German
P6				107	Anglès	Inglés	English
P6				108	Àrab	Árabe	Arabic
P6				139	Francès	Francés	French
P6				142	Gallec	Gallego	Galician
P6				158	Italià	Italiano	Italian
P6				193	Portuguès	Portugués	Portuguese
P6				197	Romanès	Rumano	Romanian
P6				198	Rus	Ruso	Russian
P6				234	Xinès	Chino	Chinese
P6				991	Berber Amazic	Berber Amazig	Berber Imazighen
P6				998	Altres llengües	Otras lenguas	Other languages
P6				999	Altres combinacions de llengües	Otras combinaciones de lenguas	Other language combinations
P7	Llengua habitual	Lengua habitual	Usual language				
P7				1	Català	Catalán	Catalan
P7				2	Castellà	Castellano	Spanish
P7				3	Català i castellà	Catalán y castellano	Catalan and Spanish
P7				4	Aranès	Aranés	Aranese
P7				99	No consta	No consta	N/A
P7				105	Alemany	Alemán	German
P7				107	Anglès	Inglés	English
P7				108	Àrab	Árabe	Arabic
P7				139	Francès	Francés	French
P7				142	Gallec	Gallego	Galician
P7				158	Italià	Italiano	Italian
P7				193	Portuguès	Portugués	Portuguese
P7				197	Romanès	Rumano	Romanian
P7				198	Rus	Ruso	Russian
P7				234	Xinès	Chino	Chinese
P7				991	Berber Amazic	Berber Amazig	Berber Imazighen
P7				998	Altres llengües	Otras lenguas	Other languages
P7				999	Altres combinacions de llengües	Otras combinaciones de lenguas	Other language combinations
P8_A	Coneixement de la llengua anglesa. Entén l'anglès?	Conocimiento de la lengua inglesa. ¿Entiende el inglés?	Knowledge of the English language. Do you understand English?				
P8_A				1	Sí	Sí	Yes
P8_A				2	No	No	No
P8_B	Coneixement de la llengua anglesa. A més d'entendre l'anglès, el sap parlar?	Conocimiento de la lengua inglesa. Además de entender el inglés, ¿sabe hablarlo?	Knowledge of the English language. In addition to understanding English, can you speak it?				
P8_B				1	Sí	Sí	Yes
P8_B				2	No	No	No
P8_C	Coneixement de la llengua anglesa. El sap llegir, l'anglès?	Conocimiento de la lengua inglesa. ¿Sabe leer el inglés?	Knowledge of the English language. Can you read English?				
P8_C				1	Sí	Sí	Yes
P8_C				2	No	No	No
P8_D	Coneixement de la llengua anglesa. El sap escriure, l'anglès?	Conocimiento de la lengua inglesa. ¿Sabe escribir el inglés?	English language proficiency. Can you write in English?				
P8_D				1	Sí	Sí	Yes
P8_D				2	No	No	No
P9_A	Coneixement de la llengua francesa. Entén el francès?	Conocimiento de la lengua francesa. ¿Entiende el francés?	Knowledge of the French language. Do you understand French?				
P9_A				1	Sí	Sí	Yes
P9_A				2	No	No	No
P9_B	Coneixement de la llengua francesa. A més d'entendre el francès el sap parlar?	Conocimiento de la lengua francesa. Además de entender el francés ¿sabe hablarlo?	Knowledge of the French language. In addition to understanding French, can you speak it?				
P9_B				1	Sí	Sí	Yes
P9_B				2	No	No	No
P9_C	Coneixement de la llengua francesa. El sap llegir, el francès?	Conocimiento de la lengua francesa. ¿Sabe leer el francés?	Knowledge of the French language. Can you read French?				
P9_C				1	Sí	Sí	Yes
P9_C				2	No	No	No
P9_D	Coneixement de la llengua francesa. El sap escriure, el francès?	Conocimiento de la lengua francesa. ¿Sabe escribir el francés?	Knowledge of the French language. Can you write in French?				
P9_D				1	Sí	Sí	Yes
P9_D				2	No	No	No
P10	Quantes persones viuen a la seva llar, comptant-lo a vostè?	¿Cuántas personas viven en su hogar, contándolo a usted?	How many people live in your household, including you?				
P10				1	1 membre	1 miembro	1 member
P10				2	2 membres	2 miembros	2 members
P10				3	3 membres	3 miembros	3 members
P10				4	4 membres	4 miembros	4 members
P10				5	5 membres	5 miembros	5 members
P10				6	6 membres o més	6 miembros o más	6 members or more
P11	Vostè, en la seva llar actual, quina llengua parla?	Usted, en su hogar actual, ¿qué lengua habla?	What language do you speak in your current home?				
P11				1	Només català	Sólo catalán	Only Catalan
P11				2	Més català que castellà	Más catalán que castellano	More Catalan than Spanish
P11				3	Ambdues	Ambas	Both
P11				4	Més castellà que català	Más castellano que catalán	More Spanish than Catalan
P11				5	Només castellà	Sólo castellano	Only Spanish
P11				6	Només en altres llengües	Sólo en otras lenguas	Only in other languages
P11				7	Català i altres llengües	Catalán y otras lenguas	Catalan and other languages
P11				8	Castellà i altres llengües	Castellano y otras lenguas	Spanish and anothers languages
P11				9	Català, castellà i altra llengua	Catalán, castellano y otra lengua	Catalan, Spanish and another language
P11				10	Només aranès	Sólo aranés	Only Aranese
P11				11	Català i aranès	Catalán y aranés	Catalan and Aranese
P11				12	Castellà i aranès	Castellano y aranés	Spanish and Aranese
P11				13	Aranès i altra llengua	Aranés y otra lengua	Aranese and another language
P11				14	Català, castellà i aranès	Catalán, castellano y aranés	Catalan, Spanish and Aranese
P11				15	Català, aranès i altra llengua	Catalán, aranés y otra lengua	Catalan, Aranese and another language
P11				16	Castellà, aranès i altra llengua	Castellano, aranés y otra lengua	Spanish, Aranese and another language
P11				99	No consta	No consta	N/A
P15	On va nèixer la seva mare?	¿Dónde nació su madre?	Where was your mother born?				
P15				1	Catalunya	Cataluña	Catalonia
P15				2	Resta d'Espanya	Resto de España	Rest of Spain
P15				3	Estranger	Extranjero	Abroad
P15				95	No l'he coneguda	No la he conocido	I haven't met her
P15				99	No consta	No consta	N/A
P17	Nivell d'estudis de la mare	Nivel de estudios de la madre	Mother's education level				
P17				1	Sense estudis	Sin estudios	No education
P17				2	Estudis primaris	Estudios primarios	Primary education
P17				3	Estudis secundaris	Estudios secundarios	Secondary education
P17				4	Estudis universitaris	Estudios universitarios	University education
P17				99	No consta	No consta	N/A
P18	Amb la mare, en quina llengua parla o parlava?	Con su madre, ¿en qué lengua habla o hablaba?	What language do you or did you speak to your mother in?				
P18				1	Només català	Sólo catalán	Only Catalan
P18				2	Més català que castellà	Más catalán que castellano	More Catalan than Spanish
P18				3	Ambdues	Ambas	Both
P18				4	Més castellà que català	Más castellano que catalán	More Spanish than Catalan
P18				5	Només castellà	Sólo castellano	Only Spanish
P18				6	Només en altres llengües	Sólo en otras lenguas	Only in other languages
P18				7	Català i altres llengües	Catalán y otras lenguas	Catalan and other languages
P18				8	Castellà i altres llengües	Castellano y otras lenguas	Spanish and anothers languages
P18				9	Català, castellà i altra llengua	Catalán, castellano y otra lengua	Catalan, Spanish and another language
P18				10	Només aranès	Sólo aranés	Only Aranese
P18				11	Català i aranès	Catalán y aranés	Catalan and Aranese
P18				12	Castellà i aranès	Castellano y aranés	Spanish and Aranese
P18				13	Aranès i altra llengua	Aranés y otra lengua	Aranese and another language
P18				14	Català, castellà i aranès	Catalán, castellano y aranés	Catalan, Spanish and Aranese
P18				15	Català, aranès i altra llengua	Catalán, aranés y otra lengua	Catalan, Aranese and another language
P18				16	Castellà, aranès i altra llengua	Castellano, aranés y otra lengua	Spanish, Aranese and another language
P18				99	No consta	No consta	N/A
P22	Llengua inicial de la mare	Lengua inicial de la madre	Mother's initial language				
P22				1	Català	Catalán	Catalan
P22				2	Castellà	Castellano	Spanish
P22				3	Català i castellà	Catalán y castellano	Catalan and Spanish
P22				4	Aranès	Aranés	Aranese
P22				99	No consta	No consta	N/A
P22				105	Alemany	Alemán	German
P22				107	Anglès	Inglés	English
P22				108	Àrab	Árabe	Arabic
P22				139	Francès	Francés	French
P22				142	Gallec	Gallego	Galician
P22				158	Italià	Italiano	Italian
P22				193	Portuguès	Portugués	Portuguese
P22				197	Romanès	Rumano	Romanian
P22				198	Rus	Ruso	Russian
P22				234	Xinès	Chino	Chinese
P22				991	Berber Amazic	Berber Amazig	Berber Imazighen
P22				998	Altres llengües	Otras lenguas	Other languages
P22				999	Altres combinacions de llengües	Otras combinaciones de lenguas	Other language combinations
P23	On va néixer el seu pare?	¿Dónde nació su padre?	Where was your father born?				
P23				1	Catalunya	Cataluña	Catalonia
P23				2	Resta d'Espanya	Resto de España	Rest of Spain
P23				3	Estranger	Extranjero	Abroad
P23				95	No l'he conegut	No lo he conocido	I haven't met him
P23				99	No consta	No consta	N/A
P25	Nivell d'estudis del pare	Nivel de estudios del padre	Father's education level				
P25				1	Sense estudis	Sin estudios	No education
P25				2	Estudis primaris	Estudios primarios	Primary education
P25				3	Estudis secundaris	Estudios secundarios	Secondary education
P25				4	Estudis universitaris	Estudios universitarios	University education
P25				99	No consta	No consta	N/A
P26	Amb el pare, en quina llengua parla o parlava?	Con su padre, ¿en qué lengua habla o hablaba?	What language do you or did you speak to your father in?				
P26				1	Només català	Sólo catalán	Only Catalan
P26				2	Més català que castellà	Más catalán que castellano	More Catalan than Spanish
P26				3	Ambdues	Ambas	Both
P26				4	Més castellà que català	Más castellano que catalán	More Spanish than Catalan
P26				5	Només castellà	Sólo castellano	Only Spanish
P26				6	Només en altres llengües	Sólo en otras lenguas	Only in other languages
P26				7	Català i altres llengües	Catalán y otras lenguas	Catalan and other languages
P26				8	Castellà i altres llengües	Castellano y otras lenguas	Spanish and anothers languages
P26				9	Català, castellà i altra llengua	Catalán, castellano y otra lengua	Catalan, Spanish and another language
P26				10	Només aranès	Sólo aranés	Only Aranese
P26				11	Català i aranès	Catalán y aranés	Catalan and Aranese
P26				12	Castellà i aranès	Castellano y aranés	Spanish and Aranese
P26				13	Aranès i altra llengua	Aranés y otra lengua	Aranese and another language
P26				14	Català, castellà i aranès	Catalán, castellano y aranés	Catalan, Spanish and Aranese
P26				15	Català, aranès i altra llengua	Catalán, aranés y otra lengua	Catalan, Aranese and another language
P26				16	Castellà, aranès i altra llengua	Castellano, aranés y otra lengua	Spanish, Aranese and another language
P26				99	No consta	No consta	N/A
P30	Llengua inicial del pare	Lengua inicial del padre	Father's initial language				
P30				1	Català	Catalán	Catalan
P30				2	Castellà	Castellano	Spanish
P30				3	Català i castellà	Catalán y castellano	Catalan and Spanish
P30				4	Aranès	Aranés	Aranese
P30				99	No consta	No consta	N/A
P30				105	Alemany	Alemán	German
P30				107	Anglès	Inglés	English
P30				108	Àrab	Árabe	Arabic
P30				139	Francès	Francés	French
P30				142	Gallec	Gallego	Galician
P30				158	Italià	Italiano	Italian
P30				193	Portuguès	Portugués	Portuguese
P30				197	Romanès	Rumano	Romanian
P30				198	Rus	Ruso	Russian
P30				234	Xinès	Chino	Chinese
P30				991	Berber Amazic	Berber Amazig	Berber Imazighen
P30				998	Altres llengües	Otras lenguas	Other languages
P30				999	Altres combinacions de llengües	Otras combinaciones de lenguas	Other language combinations
P31	Amb el seus avis materns, en quina llengua parla o parlava?	Con su madre, ¿en qué lengua habla o hablaba?	What language do you or did you speak to your mother in?				
P31				1	Només català	Sólo catalán	Only Catalan
P31				2	Més català que castellà	Más catalán que castellano	More Catalan than Spanish
P31				3	Ambdues	Ambas	Both
P31				4	Més castellà que català	Más castellano que catalán	More Spanish than Catalan
P31				5	Només castellà	Sólo castellano	Only Spanish
P31				6	Només en altres llengües	Sólo en otras lenguas	Only in other languages
P31				7	Català i altres llengües	Catalán y otras lenguas	Catalan and other languages
P31				8	Castellà i altres llengües	Castellano y otras lenguas	Spanish and anothers languages
P31				9	Català, castellà i altra llengua	Catalán, castellano y otra lengua	Catalan, Spanish and another language
P31				10	Només aranès	Sólo aranés	Only Aranese
P31				11	Català i aranès	Catalán y aranés	Catalan and Aranese
P31				12	Castellà i aranès	Castellano y aranés	Spanish and Aranese
P31				13	Aranès i altra llengua	Aranés y otra lengua	Aranese and another language
P31				14	Català, castellà i aranès	Catalán, castellano y aranés	Catalan, Spanish and Aranese
P31				15	Català, aranès i altra llengua	Catalán, aranés y otra lengua	Catalan, Aranese and another language
P31				16	Castellà, aranès i altra llengua	Castellano, aranés y otra lengua	Spanish, Aranese and another language
P31				97	No els he conegut	No los he conocido	I haven't met them
P31				99	No consta	No consta	N/A
P35	Amb els avis paterns, en quina llengua parla o parlava?	Con sus abuelos paternos, ¿en qué lengua habla o hablaba?	With your paternal grandparents, what language do you or did you speak?				
P35				1	Només català	Sólo catalán	Only Catalan
P35				2	Més català que castellà	Más catalán que castellano	More Catalan than Spanish
P35				3	Ambdues	Ambas	Both
P35				4	Més castellà que català	Más castellano que catalán	More Spanish than Catalan
P35				5	Només castellà	Sólo castellano	Only Spanish
P35				6	Només en altres llengües	Sólo en otras lenguas	Only in other languages
P35				7	Català i altres llengües	Catalán y otras lenguas	Catalan and other languages
P35				8	Castellà i altres llengües	Castellano y otras lenguas	Spanish and anothers languages
P35				9	Català, castellà i altra llengua	Catalán, castellano y otra lengua	Catalan, Spanish and another language
P35				10	Només aranès	Sólo aranés	Only Aranese
P35				11	Català i aranès	Catalán y aranés	Catalan and Aranese
P35				12	Castellà i aranès	Castellano y aranés	Spanish and Aranese
P35				13	Aranès i altra llengua	Aranés y otra lengua	Aranese and another language
P35				14	Català, castellà i aranès	Catalán, castellano y aranés	Catalan, Spanish and Aranese
P35				15	Català, aranès i altra llengua	Catalán, aranés y otra lengua	Catalan, Aranese and another language
P35				16	Castellà, aranès i altra llengua	Castellano, aranés y otra lengua	Spanish, Aranese and another language
P35				97	No els he conegut	No los he conocido	I haven't met them
P35				99	No consta	No consta	N/A
P39	Vostè actualment té parella?	¿Usted actualmente tiene pareja? 	Do you currently have a partner?				
P39				1	Sí	Sí	Yes
P39				2	No, però n’he tingut	No, pero he tenido	No, but I had
P39				3	No, ni n’he tingut 	No, ni he tenido	No, I have not had
P39				99	No consta	No consta	N/A
P40	Conviu amb la seva parella?	¿Convive con su pareja?	Do you live with your partner?				
P40				1	Sí	Sí	Yes
P40				2	No	No	No
P40				99	No consta	No consta	N/A
P42	On va néixer la seva parella actual o anterior?	¿Dónde nació su pareja actual o anterior?	Where was your current or former partner born?				
P42				1	Catalunya	Cataluña	Catalonia
P42				2	Resta d'Espanya	Resto de España	Rest of Spain
P42				3	Estranger	Extranjero	Abroad
P42				99	No consta	No consta	N/A
P43	Amb la seva parella actual o anterior, en quina llengua parla o parlava?	Con su pareja actual o anterior, ¿en qué lengua habla o hablaba? 	With your current or former partner, what language do you or did you speak?				
P43				1	Només català	Sólo catalán	Only Catalan
P43				2	Més català que castellà	Más catalán que castellano	More Catalan than Spanish
P43				3	Ambdues	Ambas	Both
P43				4	Més castellà que català	Más castellano que catalán	More Spanish than Catalan
P43				5	Només castellà	Sólo castellano	Only Spanish
P43				6	Només en altres llengües	Sólo en otras lenguas	Only in other languages
P43				7	Català i altres llengües	Catalán y otras lenguas	Catalan and other languages
P43				8	Castellà i altres llengües	Castellano y otras lenguas	Spanish and anothers languages
P43				9	Català, castellà i altra llengua	Catalán, castellano y otra lengua	Catalan, Spanish and another language
P43				10	Només aranès	Sólo aranés	Only Aranese
P43				11	Català i aranès	Catalán y aranés	Catalan and Aranese
P43				12	Castellà i aranès	Castellano y aranés	Spanish and Aranese
P43				13	Aranès i altra llengua	Aranés y otra lengua	Aranese and another language
P43				14	Català, castellà i aranès	Catalán, castellano y aranés	Catalan, Spanish and Aranese
P43				15	Català, aranès i altra llengua	Catalán, aranés y otra lengua	Catalan, Aranese and another language
P43				16	Castellà, aranès i altra llengua	Castellano, aranés y otra lengua	Spanish, Aranese and another language
P43				99	No consta	No consta	N/A
P47	Llengua inicial de la parella	Lengua inicial de la pareja	Partner's initial language				
P47				1	Català	Catalán	Catalan
P47				2	Castellà	Castellano	Spanish
P47				3	Català i castellà	Catalán y castellano	Catalan and Spanish
P47				4	Aranès	Aranés	Aranese
P47				99	No consta	No consta	N/A
P47				105	Alemany	Alemán	German
P47				107	Anglès	Inglés	English
P47				108	Àrab	Árabe	Arabic
P47				139	Francès	Francés	French
P47				142	Gallec	Gallego	Galician
P47				158	Italià	Italiano	Italian
P47				193	Portuguès	Portugués	Portuguese
P47				197	Romanès	Rumano	Romanian
P47				198	Rus	Ruso	Russian
P47				234	Xinès	Chino	Chinese
P47				991	Berber Amazic	Berber Amazig	Berber Imazighen
P47				998	Altres llengües	Otras lenguas	Other languages
P47				999	Altres combinacions de llengües	Otras combinaciones de lenguas	Other language combinations
P48	Indiqui el nombre de fills que té o ha tingut	Indique el número de hijos que tiene o ha tenido	State the number of children you have had or had				
P48				0	Cap fill	Ningún hijo	No children
P48				1	1 fill/a	1 hijo/a	1 children
P48				2	2 fills/es	2 hijos/as	2 children
P48				3	3 fills/es	3 hijos/as	3 children
P48				4	4 fills/es	4 hijos/as	4 children
P48				5	5 fills/es o més	5 hijos/as o más	5 children or more
P50A	On va néixer el primer fill?	¿Dónde nació su primer hijo?	Where was your first child born?				
P50A				1	Catalunya	Cataluña	Catalonia
P50A				2	Resta d’Espanya	Resto de España	Rest of Spain
P50A				3	Estranger	Extranjero	Abroad
P50A				99	No consta	No consta	N/A
P50B	On va néixer el segon fill?	¿Dónde nació su segundo hijo?	Where was your second child born?				
P50B				1	Catalunya	Cataluña	Catalonia
P50B				2	Resta d’Espanya	Resto de España	Rest of Spain
P50B				3	Estranger	Extranjero	Abroad
P50B				99	No consta	No consta	N/A
P50C	On va néixer el tercer fill?	¿Dónde nació el tercer hijo?	Where was your third child born?				
P50C				1	Catalunya	Cataluña	Catalonia
P50C				2	Resta d’Espanya	Resto de España	Rest of Spain
P50C				3	Estranger	Extranjero	Abroad
P50C				99	No consta	No consta	N/A
P51A	Vostè, amb el primer fill, en quina llengua parla o parlava?	¿Usted, con su primer hijo, en qué lengua habla o hablaba...?	With your first child, what language do you or did you speak...?				
P51A				1	Només en català	Sólo en catalán	Only in Catalan
P51A				2	Més en català que en castellà	Más en catalán que en castellano	More in Catalan than in Spanish 
P51A				3	Igual en català i en castellà	Igual en catalán y en castellano	Same in Catalan and Spanish
P51A				4	Més en castellà que en català	Más en castellano que en catalán	More in Spanish than in Catalan
P51A				5	Només en castellà	Sólo en castellano	Only in Spanish
P51A				6	Només en altra/es llengües	Sólo en otra/s lenguas	Only in another/s languages
P51A				7	En català i altra/es llengües	En catalán y otra/s lenguas	In Catalan and another/s languages
P51A				8	En castellà i altra/es llengües	En castellano y otra/s lenguas	In Spanish and another/s languages
P51A				9	En català, castellà i altra/es llengües	En catalán, castellano y otra/s lenguas	In Catalan, Spanish and another/s languages
P51A				10	Només en aranès	Sólo en aranés	Only in Aranese
P51A				11	En català i aranès	En catalán y aranés	In Catalan and Aranese
P51A				12	En castellà i aranès	En castellano y aranés	In Spanish and Aranese
P51A				13	En aranès i altra/es llengües	En aranés y otra/s lenguas	In Aranese and another/s languages
P51A				14	En català, castellà i aranès	En catalán, castellano y aranés	In Catalan, Spanish and Aranese
P51A				15	En català, aranès i altra/es llengües	En catalán, aranés y otra/s lenguas	In Catalan, Aranese and another/s languages
P51A				16	En castellà, aranès i altra/es llengües	En castellano, aranés y otra/s lenguas	In Spanish, Aranese and another/s languages
P51A				99	No consta	No consta	N/A
P51B	Vostè, amb el segon fill, en quina llengua parla o parlava?	¿Usted, con su segundo hijo, en qué lengua habla o hablaba...?	With your second child, what language do you or did you speak...?				
P51B				1	Només en català	Sólo en catalán	Only in Catalan
P51B				2	Més en català que en castellà	Más en catalán que en castellano	More in Catalan than in Spanish 
P51B				3	Igual en català i en castellà	Igual en catalán y en castellano	Same in Catalan and Spanish
P51B				4	Més en castellà que en català	Más en castellano que en catalán	More in Spanish than in Catalan
P51B				5	Només en castellà	Sólo en castellano	Only in Spanish
P51B				6	Només en altra/es llengües	Sólo en otra/s lenguas	Only in another/s languages
P51B				7	En català i altra/es llengües	En catalán y otra/s lenguas	In Catalan and another/s languages
P51B				8	En castellà i altra/es llengües	En castellano y otra/s lenguas	In Spanish and another/s languages
P51B				9	En català, castellà i altra/es llengües	En catalán, castellano y otra/s lenguas	In Catalan, Spanish and another/s languages
P51B				10	Només en aranès	Sólo en aranés	Only in Aranese
P51B				11	En català i aranès	En catalán y aranés	In Catalan and Aranese
P51B				12	En castellà i aranès	En castellano y aranés	In Spanish and Aranese
P51B				13	En aranès i altra/es llengües	En aranés y otra/s lenguas	In Aranese and another/s languages
P51B				14	En català, castellà i aranès	En catalán, castellano y aranés	In Catalan, Spanish and Aranese
P51B				15	En català, aranès i altra/es llengües	En catalán, aranés y otra/s lenguas	In Catalan, Aranese and another/s languages
P51B				16	En castellà, aranès i altra/es llengües	En castellano, aranés y otra/s lenguas	In Spanish, Aranese and another/s languages
P51B				99	No consta	No consta	N/A
P51C	Vostè, amb el tercer fill, en quina llengua parla o parlava?	¿Usted, con su tercer hijo, en qué lengua habla o habla...?	With your third child, what language do you or did you speak...?				
P51C				1	Només en català	Sólo en catalán	Only in Catalan
P51C				2	Més en català que en castellà	Más en catalán que en castellano	More in Catalan than in Spanish 
P51C				3	Igual en català i en castellà	Igual en catalán y en castellano	Same in Catalan and Spanish
P51C				4	Més en castellà que en català	Más en castellano que en catalán	More in Spanish than in Catalan
P51C				5	Només en castellà	Sólo en castellano	Only in Spanish
P51C				6	Només en altra/es llengües	Sólo en otra/s lenguas	Only in another/s languages
P51C				7	En català i altra/es llengües	En catalán y otra/s lenguas	In Catalan and another/s languages
P51C				8	En castellà i altra/es llengües	En castellano y otra/s lenguas	In Spanish and another/s languages
P51C				9	En català, castellà i altra/es llengües	En catalán, castellano y otra/s lenguas	In Catalan, Spanish and another/s languages
P51C				10	Només en aranès	Sólo en aranés	Only in Aranese
P51C				11	En català i aranès	En catalán y aranés	In Catalan and Aranese
P51C				12	En castellà i aranès	En castellano y aranés	In Spanish and Aranese
P51C				13	En aranès i altra/es llengües	En aranés y otra/s lenguas	In Aranese and another/s languages
P51C				14	En català, castellà i aranès	En catalán, castellano y aranés	In Catalan, Spanish and Aranese
P51C				15	En català, aranès i altra/es llengües	En catalán, aranés y otra/s lenguas	In Catalan, Aranese and another/s languages
P51C				16	En castellà, aranès i altra/es llengües	En castellano, aranés y otra/s lenguas	In Spanish, Aranese and another/s languages
P51C				99	No consta	No consta	N/A
